Router	A model call (or rule) that classifies input and directs it to the specialized handler that should handle it. Keeps each handler prompt small and sharp.
Statelessness	The defining property of the Messages API: the model remembers nothing between requests. Your client owns and resends the entire history every call. (Contrast: Claude Code sessions, which manage history for you.)
Effort	output_config.effort — reasoning-depth dial (low → max) trading latency and cost for depth. Not a length control: it doesn't reliably shorten long answers.
Stop reason	Response field saying why generation ended: end_turn (finished), max_tokens (truncated by your cap), stop_sequence (your custom brake fired), refusal (declined on safety), tool_use (wants a tool called). Drives what your code does next.
Skill (Claude Code)	A folder with SKILL.md (plus supporting files) that teaches Claude Code a procedure, invocable as /name or auto-loaded when relevant. Custom commands merged into skills; frontmatter includes allowed-tools (per-turn grant), context: fork (isolated subagent run), disable-model-invocation. Precedence: enterprise > personal > project.
Stop sequence	A custom string in stop_sequences that halts generation when the model produces it; the matched text is reported in the response's stop_sequence field. Used for multi-part generation, machine-readable spans, and turn-taking.
Constrained decoding	The mechanism behind structured outputs: the JSON schema compiles into a grammar, and token generation is constrained to it during sampling — schema compliance is enforced, not checked afterward.
Strict tool use	Setting "strict": true on a tool definition to guarantee schema validation on tool names and inputs — the tool-call sibling of JSON structured outputs; combinable with it.
Discovery (lifecycle)	The first CCAR-P lifecycle phase (discovery → design → handoff → monitoring): producing artifacts, not vibes — numeric success criteria, constraint inventory, ladder-scoped capability, product posture, failure catalog with costs, expert-written interaction scripts. Stakeholder Communication & Lifecycle Management = 14% of CCAR-P.
Deflection rate	The share of support inquiries resolved without a human (official target zone: 70–80%). Paired with CSAT (≥4/5) — never optimized alone, or the agent gets cheap and bad.
Graceful degradation	Designed behavior for every failure: tool down → polite decline + alternatives; stale data → say so + cached answers; uncertain side effects → verify before retry. The failure modes must never be silence or fabrication.
Fork (Claude Code)	A subagent variant that inherits the entire parent conversation — prompt cache included — cheaper for tasks needing the same context. Fresh subagents start minimal (own system prompt, task message, CLAUDE.md, git status); either way only the final result returns to the main transcript.
Structured output	Constraining model output to a schema via output_config.format (type: "json_schema"), enforced by constrained decoding. Guarantees shape (types, enums, required fields); semantic rules (ranges, lengths) remain your code's job, and high-stakes outputs get human review.
Subagent	A separate agent instance with its own context and tools, spawned to handle a subtask (used heavily in Claude Code) — keeps the main context clean.
System prompt	The top-level instruction field defining role, rules, and tone. Persistent across the whole conversation — unlike a user message, it isn't "conversation", it's policy.
Temperature	Legacy sampling dial: lower ≈ more consistent outputs (never deterministic, even at 0). Deprecated on models released after Claude Opus 4.6 — only 1.0 accepted, other values 400 (top_k rejected likewise). Consistency now comes from instructions, examples, and structured outputs.
Server tool	A tool that runs on Anthropic's infrastructure (web_search, web_fetch, code_execution) — results arrive in-band without your code executing anything. Contrast: client tools, which you execute in the tool_result loop.
Uncertain state	The error class where a side effect may or may not have fired (e.g., payment timeout after submission). Correct handling: report UNKNOWN, demand verification before retry — never "failed, try again."
Token	The unit models read and write in, and the unit you pay in — roughly a word fragment. Input and output tokens are priced differently.
Tool choice	The tool_choice parameter: auto (model decides; accepts disable_parallel_tool_use), any (some tool must be called), tool (a specific named tool must be), none. Steering without prompting.
Tool description	The primary interface of a tool: per official guidance "by far the most important factor in tool performance." Answers what it does, when to use and when not, parameter meanings, and limitations. Aim for 3–4+ sentences.
Tool use	Letting the model call functions you define: it emits a tool_use block, your code executes and returns a tool_result, and the loop continues.
